5280,
,2.1.1.1資料結構（一）,2.1.1.1.軟體工程,2.1.1.1.軟體工程,,,,,,,,x,x,2.1.1.1.軟體工程,,,,2.1.1.1資料結構（一）,,,,2.1.1.1資料結構（一）,,x,x,x,x,,,,,,2.2.2.2.Java,2.2.2.2.Java,2.2.2.2.Java,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.1.1.3.物聯網概論,,,,,,,,,,,3.1.1.3.物聯網概論,3.1.1.3.物聯網概論,,,,,,,3.1.1.2.系統程式,,3.1.1.2.系統程式,3.1.1.2.系統程式,,,,,,
,,1.1.1.1.計算機概論,,1.1.1.1.計算機概論,,,,,,,,,,2.1.1.3.多媒體技術與應用,2.1.1.3.多媒體技術與應用,,,,,,1.1.1.1.計算機概論,,,,,,,,,,,,,,1.1.1.1.微積分（一）,,2.1.1.3.多媒體技術與應用,,1.1.1.1.微積分（一）,,,,1.1.1.1.微積分（一）,,,
,,,3.1.1.1.電腦網路,,,,,,,,3.1.1.1.系統程式,2.1.1.3.雲端計算應用,2.1.1.3.雲端計算應用,,,,,,,,,,,,,,,,2.1.1.3.雲端計算應用,,,,,3.1.1.1.系統程式,,,,,,3.1.1.1.系統程式,,3.1.1.1.電腦網路,,,3.1.1.1.電腦網路,
,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,x,x,x,x,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,
,x,x,x,x,x,x,x,x,x,x,,,,2.1.1.2.線性代數,,2.2.1.1.Matlab程式設計簡介,,,,1.1.1.2.微積分（一）,,,,,,,,x,,,,2.2.1.1.Matlab程式設計簡介,2.2.1.1.Matlab程式設計簡介,,2.1.1.2.線性代數,2.1.1.2.線性代數,x,1.1.1.2.微積分（一）,1.1.1.2.微積分（一）,,x,x,x,x,x,
,,2.1.1.3.遊戲設計概論,1.1.1.3.作業系統概論,,,,x,x,2.1.1.3.遊戲設計概論,2.2.1.1.機器人程式設計概論,2.2.1.1.機器人程式設計概論,2.2.1.1.機器人程式設計概論,,,,,,1.1.1.3.作業系統概論,,2.1.1.3.遊戲設計概論,,,,,1.1.1.3.作業系統概論,,,,,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,x,x,x,x,x,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
,,2.1.1.2.資料結構（一）,,,,,x,x,,,2.1.1.2.資料結構（一）,2.1.1.2.資料結構（一）,,x,x,x,x,x,1.1.1.2.C程式設計,,,1.1.1.2.程式設計實習（一）,,1.1.1.2.C程式設計,1.1.1.2.C程式設計,,,x,x,x,x,,,1.1.1.2.程式設計實習（一）,,,x,x,x,x,x,x,x,x,x,
,,2.1.1.3.網頁程式設計 ,,,,,x,x,,,,,,,1.1.1.1.C程式設計,1.1.1.1.C程式設計,1.1.1.1.程式設計實習（一）,,,,,1.1.1.1.程式設計實習（一）,,,2.1.1.3.網頁程式設計 ,2.1.1.3.網頁程式設計 ,,,,1.1.1.1.C程式設計,,,,,x,x,x,x,x,x,x,x,x,x,x,
,,,,,,,x,x,x,,,,,x,x,x,x,x,,,,,,4.2.1.1.數位訊號處理,,,x,4.2.1.1.數位訊號處理,,,4.2.1.1.數位訊號處理,,,,,x,,,,,,,,,x,
,x,x,x,x,x,x,x,x,x,,,,,3.1.1.1.應用統計學,3.1.1.1.應用統計學,,,,,,,,,,,3.1.1.1.應用統計學,,,,x,x,,,,,,,,,,,,,,,
,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,3.2.1.1.影像處理,3.2.1.1.影像處理,,,,,,2.1.1.1.線性代數,,x,x,,,3.2.1.1.影像處理,,,2.1.1.1.線性代數,2.1.1.1.線性代數,,,,,,,,
,x,x,x,x,x,x,x,x,x,1.1.1.1.基礎電學,1.1.1.1.基礎電學,,2.1.1.1.邏輯電路,,,,,1.1.1.1.基礎電學,3.1.1.1.微處理機系統,3.1.1.1.微處理機系統,,,2.1.1.1.邏輯電路,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,3.1.1.1.微處理機系統,,2.1.1.1.邏輯電路,
,x,x,,,,,x,x,x,x,,,,1.1.1.2.計算機概論,1.1.1.2.計算機概論,1.1.1.2.計算機概論,,,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,x,x,
