大1甲班
,,,4.2.1.2.辨識技術,,,,,,
,,,,,,,,,
丙班
第1節,第2節,第3節,第4節,第5節,第6節,第7節,第8節,第9節,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
丁班
第1節,第2節,第3節,第4節,第5節,第6節,第7節,第8節,第9節,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,4.1.2.4.書報工科,4.1.2.4.書報工科,
,,,,,,,,,
