,,,,,,1,,1,3,,,6,11, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,45,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,11, ,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.1.1.1.作業系統概論,,6,11, ,
,,,,,,,,,,,2,3.1.1.1.演算法,2,3.1.1.1.演算法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2,1.1.1.1. 計算機概論,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,,,,,,,,,,
,,,,,,,,,,,2,2.1.1.1. 線性代數 ,,,,71, ,,,,71, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,3.1.1.3.電腦網路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
