,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,,,,,,,,,,,,,,,,,,45,11, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,,,,,,,,,11, ,,,,,,2,3.1.1.1.作業系統概論,2,3.1.1.1.作業系統概論,2,3.1.1.1.作業系統概論,11, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,11, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,11, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
